基金名称,基金代码,近一周,近一个月,近三个月,近六个月,近一年,近两年,近三年,今年来,成立来
万家宏观择时多策略混合,519212,-3.70%,8.11%,11.68%,38.77%,65.91%,31.64%,75.84%,65.69%,113.63%
万家新利灵活配置混合,519191,-3.61%,8.65%,12.01%,35.77%,60.50%,38.30%,67.24%,59.94%,138.58%
万家精选混合A,519185,-3.66%,8.58%,10.85%,31.75%,53.86%,32.14%,50.89%,52.07%,280.29%
英大国企改革主题股票,001678,-3.52%,4.11%,9.33%,34.28%,19.96%,53.24%,105.13%,28.26%,143.15%
易方达供给改革混合,002910,-7.38%,-5.51%,9.29%,27.18%,14.04%,84.33%,240.07%,19.60%,195.83%
易方达瑞恒灵活配置混合,001832,-3.74%,2.49%,5.36%,22.18%,18.81%,34.80%,117.02%,11.36%,175.40%
景顺长城中国回报灵活配置混合,000772,-3.21%,7.20%,15.34%,15.16%,20.99%,16.33%,72.32%,9.64%,117.30%
景顺长城资源垄断混合,162607,-3.40%,6.24%,12.88%,13.09%,18.78%,8.92%,63.17%,7.22%,821.52%
汇添富新睿精选混合A,001816,0.86%,2.23%,8.78%,10.23%,7.43%,14.84%,48.99%,4.04%,72.98%
汇添富优选回报灵活配置混合A,470021,-10.06%,-18.14%,11.60%,20.82%,9.64%,33.10%,100%,3.78%,125.20%
金信转型创新成长混合发起式,002810,-6.49%,-14.17%,0.26%,18.28%,3.15%,28.86%,107.42%,3.20%,90.20%
汇添富盈鑫混合A,002420,-9.40%,-16.91%,13.70%,23.69%,14.20%,25.41%,70.18%,2.81%,108.30%
华宝动力组合混合A,240004,-8.57%,-14.61%,-2.82%,4.11%,2.97%,33.19%,107.21%,1.14%,1208.82%
财通价值动量混合,720001,-3.58%,-6.51%,-1.88%,-3.90%,-17.89%,38.24%,93.11%,-0.84%,524.05%
长城行业轮动混合A,002296,-8.07%,-11.11%,5.71%,14.60%,-9.84%,95.96%,118.97%,-2.12%,156.76%
中信建投智信物联网A,001809,-9.89%,-16.26%,2.06%,6.98%,-9.67%,47.98%,125.53%,-8.37%,164.55%
华泰柏瑞积极优选股票A,001097,-6.56%,-12.82%,1.74%,3.84%,-4.01%,28.85%,65.98%,-9.84%,5.40%
国投瑞银新能源混合A,007689,-4.68%,-6.57%,-10.93%,0%,-25.21%,88.85%,---,-11.32%,222.20%
国投瑞银产业趋势混合A,012148,-4.67%,-6.47%,-10.76%,-0.38%,-26.82%,---,---,-11.33%,32.16%
国投瑞银新能源混合C,007690,-4.69%,-6.60%,-11.02%,-0.20%,-25.51%,87.35%,---,-11.57%,218.59%
国投瑞银产业趋势混合C,012149,-4.68%,-6.50%,-10.85%,-0.57%,-27.11%,---,---,-11.58%,31.50%
广发中小盘精选混合A,005598,-6.29%,-10.92%,12.77%,7.44%,0.13%,10.66%,84.17%,-14.10%,78.52%
泰达转型机遇股票A,000828,-10.50%,-16.14%,-4.18%,-0.88%,-23.99%,84.34%,188.77%,-14.47%,252.20%
前海开源大海洋混合,000690,0.84%,-0.13%,4.67%,5.74%,1.65%,40.86%,113.17%,-15.16%,139.60%
广发高端制造股票A,004997,-8.65%,-11.84%,-0.43%,-6.03%,-10.90%,26.65%,177.35%,-15.85%,180.59%
前海开源公用事业股票,005669,-10.33%,-14.73%,-8.51%,-3.51%,-10.73%,146.46%,167.06%,-22.08%,184.04%
广发先进制造股票发起式A,014191,-9.95%,-14.48%,-0.61%,18.40%,---,---,---,---,16.47%
