code,name,date,netAssetValue,accumulativeTotalTetValue,dailyGrowthRate,weekGrowthRate,oneMothGrowthRate,threeMothGrowthRate,sixMothGrowthRate,oneYearGrowthRate,twoYearGrowthRate,threeYearGrowthRate,nowYearGrowthRate,setUpGrowthRate,customGrowthRate,serviceChargeRate
006110	,富荣价值精选混合C,2020-09-08,1.0776,1.0776,-0.03,5.25,5.43,5.64,0.98,13.75,9.98,,17.93,7.76,11.3418,0.00%
006109	,富荣价值精选混合A,2020-09-08,1.4202,2.1624,-0.03,5.21,5.40,5.66,1.09,14.08,125.09,,18.11,120.5884,11.6426,0.10%
164908	,交银中证环境治理(LOF),2020-09-08,0.6010,0.6010,3.09,3.26,6.94,19.48,8.29,11.92,9.67,-39.54,17.84,-39.90,6.7766,0.12%
501030	,汇添富中证环境治理指数A,2020-09-08,0.6705,0.6705,2.93,3.14,8.09,20.18,10.46,15.64,16.18,-33.01,20.51,-32.95,10.5192,0.12%
501031	,汇添富中证环境治理指数C,2020-09-08,0.6681,0.6681,2.93,3.13,8.05,20.08,10.23,15.21,15.63,-33.38,20.18,-33.19,10.1289,0.00%
002236	,大成360互联网+大数据100A,2020-09-08,1.5270,1.5270,2.07,3.11,8.99,29.19,23.24,49.27,86.45,30.74,37.94,52.70,41.6667,0.12%
003359	,大成360互联网+大数据100C,2020-09-08,1.4960,1.4960,2.05,3.10,8.88,28.97,22.82,48.41,84.24,28.41,37.37,32.7418,40.9616,0.00%
004685	,金元顺安元启灵活配置混合,2020-09-08,1.8461,1.8461,1.55,2.89,10.67,33.12,41.07,60.42,74.67,,49.54,84.61,56.6296,0.15%
005803	,广发京津冀ETF联接A,2020-09-08,0.9647,0.9647,2.18,2.36,6.68,21.73,8.17,19.88,21.70,,18.81,-3.53,15.4580,0.12%
164811	,工银中证京津冀协同发展指数A,2020-09-08,1.1664,1.7241,2.21,2.35,6.44,20.77,6.46,17.68,18.15,16.48,16.36,76.6058,13.2817,0.10%
005804	,广发京津冀ETF联接C,2020-09-08,0.96,0.96,2.18,2.35,6.65,21.66,8.07,19.64,21.21,,18.65,-4,15.2337,0.00%
164825	,工银中证京津冀协同发展指数C,2020-09-08,1.1650,1.1650,2.20,2.34,6.41,20.69,6.32,17.63,18.30,,16.15,16.6750,13.2426,0.00%
006038	,大成景恒混合C,2020-09-08,1.82,1.82,1.90,2.19,6,22.56,22.56,31.31,74.83,,30.19,79.4872,26.4872,0.00%
