基金代码,基金名称,日期,单位净值,累计净值,日增长率,近一周增长率,近一个月增长率,近三个月增长率,近六个月增长率,近一年增长率,近两年增长率,近三年增长率,今年以来增长率,成立以来增长率,自定义增长率(当前日期向前推一年),手续费
001838	,国投瑞银国家安全混合,2020-11-24,1.0860,1.0860,0.37,10.59,8.49,-3.89,53.61,67.08,70.22,37.29,57.39,8.60,34.6753,0.15%
162411	,华宝标普油气上游股票人民币A,2020-11-23,0.2825,0.2825,8.53,8.91,22.93,4.86,2.24,-24.67,-49.73,-51.21,-32.09,-71.75,-39.0952,0.15%
007844	,华宝标普油气上游股票人民币C,2020-11-23,0.2816,0.2816,8.52,8.89,22.86,4.76,2.07,,,,,-28.8170,-35.5157,0.00%
160643	,鹏华空天军工指数(LOF)A,2020-11-24,1.3201,1.3201,0.63,8.33,8.22,-0.87,44.16,65.65,83.53,38.51,58.97,31.9968,33.8165,0.12%
010364	,鹏华空天军工指数(LOF)C,2020-11-24,1.0595,1.0595,0.62,8.32,,,,,,,,5.95,,0.00%
161724	,招商中证煤炭等权指数分级,2020-11-24,1.0422,0.7608,0.70,7.98,16.34,16.16,45.88,27.37,30.73,-4.19,21.37,-22.9839,0.1989,0.10%
004351	,汇丰晋信珠三角区域发展混合,2020-11-24,1.5334,1.5334,1.85,7.78,7.21,-3.02,36.76,46.89,77.27,47.10,36.47,53.34,40.7517,0.15%
005669	,前海开源公用事业股票,2020-11-24,1.3752,1.3752,2,7.72,15.19,27.38,40.38,32.79,45.45,,29.94,37.52,1.1353,0.15%
160221	,国泰国证有色金属行业指数分级,2020-11-24,1.0625,0.7853,1.27,7.65,21.68,13.32,47.82,51.87,58.70,2.36,31.64,-19.4432,17.0461,0.00%
000689	,前海开源新经济混合,2020-11-24,1.4270,1.5370,2.37,7.54,9.01,3.71,39.22,42.27,59.80,27.81,35.39,56.8287,28.1008,0.15%
161032	,富国中证煤炭指数分级,2020-11-24,1.1010,0.7450,0.27,7.52,15.17,16.26,42.06,23.34,34.26,0.17,16.14,-25.5450,-3.9921,0.00%
004243	,广发道琼斯石油指数人民币C,2020-11-23,0.7592,0.7592,7.31,7.44,24.70,6.45,-2.24,-16.45,-24,-22.04,-20.96,-24.08,-24.3447,0.00%
162719	,广发道琼斯石油指数人民币A,2020-11-23,0.7542,0.7542,7.30,7.44,24.76,6.60,-1.96,-16.13,-23.89,-22.69,-20.67,-24.58,-24.2495,0.12%
165520	,信诚中证800有色指数分级,2020-11-24,1.2730,1.3880,1.27,7.43,22.88,16.79,53,59,70.65,12.93,37.03,35.9854,22.5918,0.12%
004432	,南方有色金属ETF联接A,2020-11-24,0.9709,0.9709,1.24,7.32,21.06,12.57,44.11,51.92,63.73,6.39,31.03,-2.91,17.8971,0.12%
004433	,南方有色金属ETF联接C,2020-11-24,0.9586,0.9586,1.25,7.32,21.02,12.46,43.83,51.32,62.45,5.13,30.56,-4.14,17.4404,0.00%
164402	,前海开源中航军工,2020-11-24,0.9390,0.9610,0.54,7.31,5.51,-2.49,37.81,45.51,67.10,23.08,41.05,-3.0673,21.0914,0.12%
008279	,国泰中证煤炭ETF联接A,2020-11-24,1.2741,1.2741,0.28,7.21,14.64,15,38.75,,,,,27.41,9.53,0.10%
008280	,国泰中证煤炭ETF联接C,2020-11-24,1.2711,1.2711,0.28,7.20,14.62,14.93,38.54,,,,,27.11,9.33,0.00%
160630	,鹏华中证国防指数分级,2020-11-24,1.1650,1.2720,0.52,7.18,6.20,-2.84,40.02,62.38,76.12,36.04,54.10,7.8208,37.8082,0.12%
690008	,民生中证内地资源主题指数,2020-11-24,0.7520,0.7520,0.94,7.12,19.37,14.29,37.48,28.99,27.03,-7.39,16.05,-24.80,0.3135,0.12%
161217	,国投瑞银中证资源指数,2020-11-24,0.8740,0.8740,1.04,7.11,19.40,15.61,45.91,42.81,51.47,14.85,27.78,-12.60,15.6740,0.12%
160620	,鹏华资源分级,2020-11-24,1.2980,0.9520,1.33,7.10,17.25,10.56,38.09,31.66,48.48,7.90,18.79,-2.5060,11.3103,0.12%
001643	,汇丰晋信智造先锋股票A,2020-11-24,2.5549,2.5549,2.27,6.95,17.46,24.22,75.41,138,223.77,147.66,93.23,155.4134,80.5579,0.15%
001644	,汇丰晋信智造先锋股票C,2020-11-24,2.4924,2.4924,2.27,6.94,17.41,24.07,74.97,136.83,220.77,144.16,92.37,149.1653,79.7411,0.00%
240022	,华宝资源优选混合,2020-11-24,2.4250,2.5340,1.08,6.88,22.60,20.05,60.81,72.72,102.59,73.96,57.06,161.2332,31.6035,0.15%
000596	,前海开源中证军工指数A,2020-11-24,1.8580,1.8580,0.43,6.84,5.21,-2.77,39.49,57.86,79,34.93,52.30,85.80,33.7748,0.12%
002199	,前海开源中证军工指数C,2020-11-24,0.9460,1.9060,0.42,6.77,5.11,-2.87,39.32,57.40,78.15,33.99,51.85,-6.4813,33.4293,0.12%
540008	,汇丰晋信低碳先锋股票,2020-11-24,2.5735,2.6735,2.07,6.72,17.04,23.26,74.31,136.12,180.28,64.85,91.51,180.6396,82.1239,0.15%
003017	,广发中证军工ETF联接A,2020-11-24,1.0784,1.0784,0.41,6.62,4.64,-4.38,34.13,47.79,68.08,28.43,42.40,7.84,26.1295,0.12%
005693	,广发中证军工ETF联接C,2020-11-24,1.0765,1.0765,0.40,6.62,4.62,-4.43,33.98,47.49,67.52,,42.15,50.6016,25.8308,0.00%
168501	,北信瑞丰产业升级,2020-11-24,2.0660,2.0660,0.65,6.53,9.40,1.14,47.76,101.56,143.86,104.80,73.82,106.60,85.3870,0.15%
